nameTeam,stadium,city
Milan,San Siro,Milano
Juventus,Allianz Stadium,Torino
Inter,San Siro,Milano
Roma,Olimpico,Roma
Napoli,Stadio Diego Armando Maradona,Napoli
Fiorentina,Stadio Artemio Franchi,Firenze
